DATA_CONTR_ABERTO	VENCIMENTO	VAR_DIA	EM_ABERTO	PRODUTO
07/16/2015	V19	0	8090	DI1
07/16/2015	N22	0	335	DI1
07/16/2015	N18	1993	402799	DI1
07/16/2015	V18	0	14679	DI1
07/16/2015	F19	3107	809758	DI1
07/16/2015	J19	0	26433	DI1
07/16/2015	N19	9965	61333	DI1
07/16/2015	J18	60	66255	DI1
07/16/2015	F20	36	94951	DI1
07/16/2015	J20	1415	14539	DI1
07/16/2015	N20	100	16790	DI1
07/16/2015	V20	1450	6395	DI1
07/16/2015	F21	-7278	839935	DI1
07/16/2015	J21	0	1005	DI1
07/16/2015	N21	0	530	DI1
07/16/2015	F22	-55	25148	DI1
07/16/2015	V21	0	375	DI1
07/16/2015	K16	0	32690	DI1
07/16/2015	N19	0	400	DOL
07/16/2015	U15	6690	594830	DI1
07/16/2015	F23	-580	191404	DI1
07/16/2015	X15	1865	97429	DI1
07/16/2015	Z15	380	118910	DI1
07/16/2015	F16	-4449	2822512	DI1
07/16/2015	G16	-190	59795	DI1
07/16/2015	V15	21030	2664170	DI1
07/16/2015	J16	-2299	910619	DI1
07/16/2015	F18	-23076	1363434	DI1
07/16/2015	M16	0	36740	DI1
07/16/2015	N16	-2373	675121	DI1
07/16/2015	V16	75	256136	DI1
07/16/2015	X16	150	12030	DI1
07/16/2015	F17	34899	1637455	DI1
07/16/2015	J17	279	77177	DI1
07/16/2015	N17	-125	533311	DI1
07/16/2015	V17	-725	78081	DI1
07/16/2015	H16	635	65565	DI1
07/16/2015	F16	0	520800	OC1
07/16/2015	J17	0	33	DOL
07/16/2015	V15	-1285	23710	IND
07/16/2015	Z15	-500	12520	IND
07/16/2015	G16	0	3995	IND
07/16/2015	J16	0	5225	IND
07/16/2015	M16	0	895	IND
07/16/2015	U15	0	42000	OC1
07/16/2015	F21	0	3100	DOL
07/16/2015	X15	0	2500	OC1
07/16/2015	F18	0	3100	DOL
07/16/2015	G16	0	32300	OC1
07/16/2015	H16	0	17800	OC1
07/16/2015	J16	0	259500	OC1
07/16/2015	M16	0	16900	OC1
07/16/2015	N16	0	61530	OC1
07/16/2015	V16	0	7100	OC1
07/16/2015	Q15	-5419	629213	DI1
07/16/2015	V15	0	535550	OC1
07/16/2015	G16	0	12795	DOL
07/16/2015	F24	0	33145	DI1
07/16/2015	F25	3320	256895	DI1
07/16/2015	F29	0	10	DI1
07/16/2015	Q15	8163	748336	DOL
07/16/2015	U15	1755	52068	DOL
07/16/2015	V15	0	33689	DOL
07/16/2015	X15	0	9470	DOL
07/16/2015	Q15	11	377271	IND
07/16/2015	F16	10	46350	DOL
07/16/2015	N23	0	665	DI1
07/16/2015	H16	0	245	DOL
07/16/2015	J16	0	12428	DOL
07/16/2015	K16	0	1860	DOL
07/16/2015	M16	0	6200	DOL
07/16/2015	N16	600	17125	DOL
07/16/2015	V16	0	4201	DOL
07/16/2015	F17	0	1785	DOL
07/16/2015	Z15	0	5535	DOL
07/17/2015	F20	405	95356	DI1
07/17/2015	F23	-1956	189448	DI1
07/17/2015	N18	4475	407274	DI1
07/17/2015	V18	215	14894	DI1
07/17/2015	F19	6150	815908	DI1
07/17/2015	J19	235	26668	DI1
07/17/2015	N19	1020	62353	DI1
07/17/2015	V19	30	8120	DI1
07/17/2015	J20	25	14564	DI1
07/17/2015	N20	20	16810	DI1
07/17/2015	V20	20	6415	DI1
07/17/2015	F21	-3377	836558	DI1
07/17/2015	J21	20	1025	DI1
07/17/2015	N21	20	550	DI1
07/17/2015	V21	0	375	DI1
07/17/2015	N22	0	335	DI1
07/17/2015	F22	0	25148	DI1
07/17/2015	J16	-4700	905919	DI1
07/17/2015	J18	325	66580	DI1
07/17/2015	Q15	-5936	623277	DI1
07/17/2015	N23	5	670	DI1
07/17/2015	V15	3895	2668065	DI1
07/17/2015	X15	850	98279	DI1
07/17/2015	Z15	440	119350	DI1
07/17/2015	F16	-32941	2789571	DI1
07/17/2015	U15	12615	607445	DI1
07/17/2015	H16	45	65610	DI1
07/17/2015	F18	26334	1389768	DI1
07/17/2015	K16	50	32740	DI1
07/17/2015	M16	760	37500	DI1
07/17/2015	N16	1968	677089	DI1
07/17/2015	V16	145	256281	DI1
07/17/2015	X16	100	12130	DI1
07/17/2015	F17	67741	1705196	DI1
07/17/2015	J17	297	77474	DI1
07/17/2015	N17	-5253	528058	DI1
07/17/2015	G16	5340	65135	DI1
07/17/2015	X15	0	2500	OC1
07/17/2015	F21	0	3100	DOL
07/17/2015	Q15	4732	382003	IND
07/17/2015	V15	375	24085	IND
07/17/2015	Z15	-65	12455	IND
07/17/2015	G16	45	4040	IND
07/17/2015	J16	0	5225	IND
07/17/2015	V16	0	7100	OC1
07/17/2015	N19	0	400	DOL
07/17/2015	F24	-10	33135	DI1
07/17/2015	M16	0	895	IND
